epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.831,0.71408,3.26306,1.11906,0.01067,0.67189,0.13812,0.11743,0.44412,3.0217,0.89361,0.00012861,0.00012861,0.00012861
2,25.8335,0.57042,2.85119,0.97689,0.01268,0.79436,0.45562,0.405,0.39696,2.92479,0.87208,0.00025807,0.00025807,0.00025807
3,31.2467,0.56116,2.34895,0.97613,0.0142,0.87422,0.5643,0.47452,0.50397,2.82013,0.92026,0.000373383,0.000373383,0.000373383
4,39.1282,0.60134,1.94757,0.98926,0.87278,0.19444,0.52108,0.44346,0.53503,2.61263,0.92619,0.000474549,0.000474549,0.000474549
5,43.5206,0.62014,1.54637,0.99572,0.82535,0.27763,0.4941,0.38606,0.66825,2.54308,1.07264,0.000561568,0.000561568,0.000561568
6,47.8405,0.62897,1.42701,1.00837,0.73712,0.56436,0.67599,0.51661,0.713,2.21654,1.06833,0.00063444,0.00063444,0.00063444
7,53.887,0.62044,1.31499,1.00805,0.6791,0.68474,0.69064,0.55731,0.61404,1.99804,1.02747,0.000693165,0.000693165,0.000693165
8,60.7575,0.57046,1.17843,0.97136,0.59404,0.67719,0.67686,0.49272,0.72367,1.88034,1.12107,0.000737743,0.000737743,0.000737743
9,65.2939,0.57593,1.12535,0.97633,0.62962,0.69371,0.68354,0.52286,0.66059,1.74645,1.10042,0.000768173,0.000768173,0.000768173
10,69.6549,0.59339,1.08917,0.99034,0.59766,0.73537,0.72938,0.61502,0.59454,1.35306,0.99025,0.000784457,0.000784457,0.000784457
11,80.7746,0.51915,1.23333,0.94294,0.62527,0.78052,0.76561,0.6473,0.57216,1.25582,0.9782,0.000721645,0.000721645,0.000721645
12,84.7793,0.50267,1.138,0.95071,0.66912,0.67137,0.72257,0.61154,0.54486,1.33443,0.94546,0.000650909,0.000650909,0.000650909
13,88.5698,0.53762,1.15665,0.96227,0.66167,0.7167,0.76297,0.67694,0.53224,1.14259,0.92939,0.000580174,0.000580174,0.000580174
14,93.2525,0.45218,1.02984,0.91816,0.68964,0.88427,0.81252,0.70117,0.58052,1.09853,0.97754,0.000509438,0.000509438,0.000509438
15,99.3553,0.44202,1.03383,0.88991,0.65784,0.91535,0.83194,0.74666,0.52179,1.07881,0.93693,0.000438703,0.000438703,0.000438703
16,103.529,0.42633,0.90463,0.88599,0.71087,0.81288,0.80315,0.70561,0.52324,1.13224,0.92255,0.000367967,0.000367967,0.000367967
17,106.964,0.44539,0.9461,0.90556,0.62523,0.9425,0.8103,0.71473,0.49092,1.08757,0.91413,0.000297232,0.000297232,0.000297232
18,110.556,0.42667,0.90577,0.88957,0.65316,0.93634,0.82186,0.72516,0.44775,1.0934,0.88027,0.000226497,0.000226497,0.000226497
19,116.066,0.3986,0.86418,0.87194,0.68843,0.90052,0.82752,0.74092,0.4364,1.07479,0.8699,0.000155761,0.000155761,0.000155761
20,121.562,0.38587,0.80731,0.87256,0.67884,0.87135,0.81807,0.74288,0.42738,1.06988,0.86653,8.50255e-05,8.50255e-05,8.50255e-05
